id,predicted
0,28
1,1
2,23
3,15
4,31
5,10
6,51
7,17
8,29
9,64
10,15
11,6
12,39
13,26
14,22
15,1
16,21
17,46
18,1
19,12
20,23
21,20
22,9
23,26
24,63
25,38
26,44
27,13
28,25
29,14
30,10
31,16
32,58
33,4
34,57
35,25
36,31
37,13
38,16
39,13
40,9
41,25
42,84
43,13
44,10
45,18
46,15
47,17
48,41
49,18
50,18
51,50
52,35
53,63
54,9
55,64
56,28
57,1
58,20
59,10
60,29
61,19
62,13
63,75
64,17
65,48
66,116
67,12
68,22
69,52
70,32
71,54
72,115
73,9
74,32
75,42
76,1
77,2
78,33
79,31
80,15
81,26
82,13
83,1
84,2
85,20
86,72
87,43
88,35
89,30
90,32
91,199
92,9
93,40
94,14
95,23
96,10
97,9
98,20
99,6
100,5
101,33
102,24
103,1
104,45
105,36
106,30
107,1
108,28
109,23
110,38
111,6
112,37
113,14
114,28
115,1
116,10
117,7
118,24
119,11
120,11
121,32
122,23
123,62
124,5
125,4
126,13
127,12
128,38
129,33
130,20
131,15
132,21
133,32
134,28
135,13
136,13
137,17
138,26
139,22
140,12
141,21
142,23
143,1
144,18
145,40
146,34
147,15
148,8
149,16
150,1
151,55
152,13
153,25
154,92
155,13
156,11
157,59
158,14
159,34
160,24
161,18
162,14
163,28
164,15
165,18
166,29
167,25
168,73
169,1
170,22
171,42
172,19
173,99
174,6
175,14
176,5
177,1
178,55
179,1
180,8
181,82
182,93
183,14
184,13
185,27
186,15
187,10
188,44
189,20
190,13
191,13
192,11
193,6
194,39
195,39
196,17
197,33
198,17
199,15
200,21
201,22
202,2
203,49
204,1
205,38
206,15
207,61
208,99
209,19
210,12
211,21
212,58
213,27
214,34
215,14
216,101
217,53
218,1
219,9
220,37
221,28
222,10
223,2
224,32
225,22
226,23
227,15
228,1
229,2
230,2
231,20
232,27
233,32
234,10
235,10
236,14
237,19
238,29
239,11
240,9
241,18
242,2
243,9
244,38
245,26
246,9
247,14
248,11
249,34
250,3
251,10
252,65
253,82
254,44
255,15
256,10
257,69
258,16
259,16
260,12
261,25
262,56
263,32
264,1
265,13
266,49
267,40
268,19
269,25
270,69
271,1
272,64
273,57
274,31
275,56
276,22
277,5
278,27
279,48
280,25
281,33
282,36
283,56
284,27
285,10
286,6
287,13
288,69
289,25
290,34
291,94
292,18
293,11
294,17
295,25
296,33
297,11
298,1
299,18
300,102
301,25
302,26
303,1
304,29
305,29
306,13
307,20
308,21
309,7
310,34
311,29
312,17
313,1
314,26
315,27
316,4
317,18
318,1
319,21
320,1
321,4
322,2
323,13
324,48
325,14
326,16
327,32
328,30
329,62
330,27
331,16
332,48
333,7
334,14
335,16
336,18
337,35
338,6
339,10
340,56
341,18
342,32
343,28
344,1
345,8
346,21
347,16
348,5
349,13
350,15
351,12
352,35
353,53
354,54
355,2
356,10
357,3
358,12
359,5
360,16
361,106
362,16
363,14
364,12
365,14
366,30
367,16
368,58
369,73
370,1
371,46
372,24
373,23
374,37
375,19
376,7
377,14
378,8
379,21
380,113
381,18
382,25
383,15
384,35
385,18
386,84
387,58
388,19
389,1
390,1
391,13
392,20
393,14
394,6
395,28
396,94
397,17
398,35
399,51
400,23
401,2
402,46
403,25
404,13
405,12
406,18
407,21
408,1
409,33
410,12
411,9
412,19
413,17
414,66
415,16
416,1
417,12
418,14
419,27
420,40
421,20
422,84
423,14
424,27
425,33
426,19
427,30
428,17
429,9
430,52
431,9
432,38
433,10
434,107
435,11
436,16
437,65
438,19
439,9
440,12
441,20
442,65
