id,predicted
0,29
1,3
2,26
3,8
4,26
5,3
6,37
7,10
8,27
9,66
10,16
11,6
12,25
13,24
14,19
15,2
16,28
17,40
18,0
19,10
20,23
21,21
22,6
23,22
24,48
25,32
26,36
27,10
28,21
29,20
30,10
31,14
32,54
33,5
34,58
35,24
36,32
37,10
38,14
39,9
40,5
41,45
42,53
43,4
44,11
45,19
46,9
47,13
48,20
49,17
50,10
51,42
52,27
53,56
54,13
55,43
56,23
57,3
58,22
59,14
60,26
61,14
62,12
63,40
64,21
65,37
66,64
67,15
68,14
69,37
70,24
71,25
72,98
73,14
74,34
75,29
76,0
77,3
78,24
79,36
80,15
81,21
82,9
83,1
84,4
85,20
86,55
87,55
88,51
89,32
90,26
91,92
92,10
93,32
94,13
95,14
96,7
97,3
98,17
99,2
100,5
101,33
102,19
103,2
104,50
105,20
106,28
107,3
108,19
109,22
110,47
111,6
112,26
113,14
114,30
115,2
116,11
117,8
118,18
119,17
120,5
121,23
122,23
123,56
124,5
125,7
126,9
127,14
128,28
129,37
130,15
131,15
132,23
133,17
134,26
135,9
136,19
137,16
138,25
139,22
140,15
141,18
142,20
143,2
144,14
145,35
146,30
147,14
148,8
149,13
150,1
151,71
152,8
153,25
154,38
155,12
156,3
157,49
158,15
159,27
160,18
161,15
162,16
163,21
164,11
165,16
166,21
167,23
168,35
169,4
170,30
171,83
172,22
173,68
174,10
175,11
176,6
177,9
178,24
179,0
180,6
181,59
182,56
183,10
184,16
185,30
186,16
187,9
188,36
189,22
190,11
191,12
192,9
193,6
194,32
195,46
196,17
197,26
198,16
199,10
200,19
201,26
202,2
203,31
204,3
205,29
206,20
207,54
208,71
209,14
210,11
211,23
212,60
213,28
214,25
215,13
216,73
217,39
218,0
219,5
220,27
221,31
222,2
223,4
224,19
225,19
226,24
227,14
228,0
229,4
230,3
231,21
232,27
233,25
234,13
235,8
236,18
237,19
238,31
239,5
240,10
241,21
242,2
243,9
244,23
245,17
246,12
247,16
248,7
249,45
250,3
251,13
252,60
253,55
254,41
255,8
256,17
257,73
258,10
259,16
260,15
261,20
262,63
263,30
264,2
265,12
266,53
267,41
268,17
269,22
270,66
271,0
272,44
273,34
274,28
275,43
276,18
277,7
278,14
279,30
280,32
281,25
282,25
283,47
284,26
285,8
286,5
287,8
288,56
289,16
290,27
291,69
292,21
293,16
294,10
295,23
296,31
297,3
298,0
299,17
300,91
301,22
302,16
303,1
304,24
305,18
306,12
307,20
308,19
309,9
310,20
311,28
312,18
313,2
314,26
315,24
316,5
317,19
318,0
319,16
320,2
321,5
322,2
323,9
324,41
325,10
326,13
327,29
328,28
329,52
330,32
331,22
332,35
333,10
334,21
335,19
336,9
337,22
338,8
339,10
340,46
341,18
342,22
343,28
344,1
345,9
346,23
347,13
348,3
349,10
350,16
351,11
352,57
353,43
354,35
355,2
356,9
357,3
358,12
359,8
360,12
361,79
362,11
363,12
364,13
365,13
366,29
367,19
368,58
369,53
370,0
371,44
372,15
373,24
374,30
